brand_slug,brand_name,editorial_score_10,founded,best_for,summary,strengths,appliance_categories,guide_url
bosch,Bosch,8.6,1886,Dishwashers,"Quiet operation, strong cleaning systems and generally good long-term parts support.",Dishwashers | Compact laundry | Parts support,dishwashers | refrigerators,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/bosch
electrolux,Electrolux,8.1,1919,Front-load laundry,Strong wash performance with a broad service footprint in major markets.,Washers | Dryers | Fabric care,washers | dryers,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/electrolux
frigidaire,Frigidaire,8,1918,Value ranges,Straightforward cooking appliances and widely available replacement parts.,Ranges | Refrigerators | Value,ranges | refrigerators,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/frigidaire
ge-appliances,GE Appliances,8.5,1907,Broad service access,A broad line-up backed by one of the larger repair and parts networks in the US.,Ranges | Refrigerators | Service network,refrigerators | ranges | microwaves,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/ge-appliances
kitchenaid,KitchenAid,8.2,1919,Dishwashers,Premium-leaning kitchen appliances with familiar Whirlpool-group components.,Dishwashers | Cooking | Parts access,dishwashers | ranges,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/kitchenaid
lg,LG,8.6,1958,Laundry,High-performing washers and dryers with strong owner satisfaction in current generations.,Washers | Dryers | Efficiency,washers | dryers | refrigerators,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/lg
miele,Miele,8.7,1899,Premium dishwashers,"Long design-life targets and excellent build quality, balanced by higher repair costs.",Dishwashers | Laundry | Build quality,dishwashers | washers | dryers,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/miele
panasonic,Panasonic,8.3,1918,Microwaves,A specialist in inverter microwaves with consistent heating performance.,Microwaves | Inverter technology | Value,microwaves,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/panasonic
sharp,Sharp,8.1,1912,Microwaves,Long experience in microwave design and a wide range of countertop formats.,Microwaves | Compact sizes | Controls,microwaves,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/sharp
speed-queen,Speed Queen,8.8,1908,Durable laundry,"Simple, serviceable laundry machines built around commercial design principles.",Washers | Dryers | Repairability,washers | dryers,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/speed-queen
whirlpool,Whirlpool,8.3,1911,Repair access,Mainstream appliances with extensive parts availability and technician familiarity.,Ranges | Dryers | Parts access,refrigerators | dryers | ranges | dishwashers,https://appliance-lifespan-guide.masterblaster1.chatgpt.site/brands/whirlpool
